,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
14x28,8.40093,-9.72878,-2.625971,1.1623069,4.096276,1.1252222,4.1017394,17.045359,-5.345093,4.769825,0.5418471,6.7589507,-7.1009893,0.45918435,-5.5840445,8.954012,-4.414455,-2.203455,-7.205403,-1.2382225,9.386999,-0.48736274,7.1668935,-2.6423268,-7.5911727,2.4844775,2.0911238,4.2676635,7.291782,-4.9055557
14x29,8.89979,-9.587895,-1.5085754,1.4577258,3.529769,0.70911163,5.0794287,17.03246,-5.4180765,4.104271,0.8250314,5.4131126,-7.45627,-0.19267058,-6.030816,9.643742,-4.1094456,-2.6538668,-8.024152,-1.4600971,8.789549,-0.59134954,6.0884123,-3.2228055,-8.191628,2.1584623,-0.1553483,4.3323536,7.515478,-4.3303947
14x30,8.942223,-9.169345,-1.4051609,1.8015962,3.7925572,0.6031435,6.1567574,16.939983,-4.87032,4.046594,1.230957,4.41391,-7.880402,-0.2757831,-6.6238303,9.486305,-4.5338135,-1.823031,-8.365082,-1.7272534,8.715208,-0.4411332,5.413089,-2.5030837,-8.423252,1.9017369,-0.8947612,4.210323,6.9637165,-4.035743
14x9,7.639556,-8.508834,-4.334574,2.0696363,5.361992,-1.2206521,5.3388395,15.644975,-7.0626874,4.8911266,1.4817044,6.409152,-7.0322256,-1.6242852,-6.036617,9.879078,-4.1971097,-3.733401,-6.2775564,0.44430292,8.451491,-2.0499666,6.8798723,-1.4987359,-5.9209986,4.7043066,3.2867706,6.3230896,7.066792,-3.7829213
15x10,7.5542264,-8.756096,-4.533814,1.8328396,4.640578,-0.85657185,5.6444783,15.946807,-6.9856124,4.8385887,1.4412296,6.4404697,-7.135042,-1.6669574,-5.3593903,10.373664,-4.447875,-3.0867047,-6.595694,-0.14019442,8.5868,-2.177078,6.9079695,-1.1831648,-5.94077,4.2098055,3.593698,6.219748,7.031336,-3.3779798
15x11,7.6850963,-8.525757,-4.3879075,1.5625533,4.283924,-0.23989952,5.1516156,15.637068,-7.1903195,5.315736,1.044179,7.007196,-7.0441294,-1.3847911,-4.6402907,10.336149,-4.7156267,-2.8423295,-6.865892,0.14092916,8.498907,-1.763705,6.7862396,-1.2552553,-6.202408,4.21248,4.190234,6.668638,6.753822,-3.3812838
15x18,8.437038,-5.4958773,-7.6839566,5.298088,0.58310604,4.0584073,6.0339255,12.017001,-6.6140876,2.9061065,1.8953359,8.43189,-7.9817667,1.4821315,-4.7436886,8.332899,-3.783009,-3.0634475,-5.823056,-0.29891562,3.1286511,-0.90126634,9.863161,1.2658892,-9.344492,2.6433628,0.67657566,8.439968,8.893145,-6.4652634
15x20,9.245764,-2.5682552,-4.62341,5.561935,3.2320786,2.1947844,7.323954,11.878813,-6.6331663,2.4326677,1.3859327,8.704783,-8.465724,-0.5407901,-4.963178,7.853898,-4.8202705,-0.585866,-4.8279533,-2.329561,6.8213925,-1.510656,7.169897,1.9108313,-8.450272,1.5912663,1.6353676,6.1975155,6.531895,-7.8901863
15x21,8.790863,-3.3581827,-2.9158683,3.7614493,4.7898574,0.6262772,6.978546,12.907601,-7.0108185,2.396533,0.7694442,7.953791,-7.907942,-1.3878171,-5.503957,8.118892,-5.65812,0.326334,-5.668246,-2.6792586,8.874523,-2.712069,5.7652826,1.4876702,-7.7301874,1.3878582,2.082616,5.6566777,5.0984697,-7.4432845
15x22,7.9525304,-4.744479,-1.6387719,2.6569803,4.4317646,0.016417325,5.9085865,14.969066,-7.6024723,3.958375,0.4674544,7.2618113,-6.726962,-1.7349353,-6.273228,8.682664,-4.4414797,0.24454403,-6.1705093,-1.0332862,8.599435,-2.794167,6.2601485,1.1039811,-6.925355,2.0939794,1.5904942,6.386524,5.8334565,-7.085843
